"lon","lat","latlon"
-69.25,47.75,"lat47.75lon-69.25"
-68.25,47.75,"lat47.75lon-68.25"
-66.25,47.75,"lat47.75lon-66.25"
-65.25,47.75,"lat47.75lon-65.25"
-99.25,48.75,"lat48.75lon-99.25"
-97.25,48.75,"lat48.75lon-97.25"
-96.25,48.75,"lat48.75lon-96.25"
-94.25,48.75,"lat48.75lon-94.25"
-93.25,48.75,"lat48.75lon-93.25"
-91.25,48.75,"lat48.75lon-91.25"
-90.25,48.75,"lat48.75lon-90.25"
-85.25,48.75,"lat48.75lon-85.25"
-84.25,48.75,"lat48.75lon-84.25"
-82.25,48.75,"lat48.75lon-82.25"
-81.25,48.75,"lat48.75lon-81.25"
-79.25,48.75,"lat48.75lon-79.25"
-78.25,48.75,"lat48.75lon-78.25"
-76.25,48.75,"lat48.75lon-76.25"
-75.25,48.75,"lat48.75lon-75.25"
-73.25,48.75,"lat48.75lon-73.25"
-72.25,48.75,"lat48.75lon-72.25"
-70.25,48.75,"lat48.75lon-70.25"
-67.25,48.75,"lat48.75lon-67.25"
-66.25,48.75,"lat48.75lon-66.25"
-98.25,49.75,"lat49.75lon-98.25"
-97.25,49.75,"lat49.75lon-97.25"
-95.25,49.75,"lat49.75lon-95.25"
-92.25,49.75,"lat49.75lon-92.25"
-89.25,49.75,"lat49.75lon-89.25"
-87.25,49.75,"lat49.75lon-87.25"
-86.25,49.75,"lat49.75lon-86.25"
-83.25,49.75,"lat49.75lon-83.25"
-82.25,49.75,"lat49.75lon-82.25"
-80.25,49.75,"lat49.75lon-80.25"
-77.25,49.75,"lat49.75lon-77.25"
-74.25,49.75,"lat49.75lon-74.25"
-72.25,49.75,"lat49.75lon-72.25"
-71.25,49.75,"lat49.75lon-71.25"
-68.25,49.75,"lat49.75lon-68.25"
-98.75,36.25,"lat36.25lon-98.75"
-97.75,36.25,"lat36.25lon-97.75"
-95.75,36.25,"lat36.25lon-95.75"
-92.75,36.25,"lat36.25lon-92.75"
-91.75,36.25,"lat36.25lon-91.75"
-88.75,36.25,"lat36.25lon-88.75"
-86.75,36.25,"lat36.25lon-86.75"
-85.75,36.25,"lat36.25lon-85.75"
-83.75,36.25,"lat36.25lon-83.75"
-82.75,36.25,"lat36.25lon-82.75"
-80.75,36.25,"lat36.25lon-80.75"
-77.75,36.25,"lat36.25lon-77.75"
-76.75,36.25,"lat36.25lon-76.75"
-98.75,37.25,"lat37.25lon-98.75"
-97.75,37.25,"lat37.25lon-97.75"
-95.75,37.25,"lat37.25lon-95.75"
-92.75,37.25,"lat37.25lon-92.75"
-91.75,37.25,"lat37.25lon-91.75"
